sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
36,Varagu flour,100.0,12.5,6.1,1.3,69.2,1.91,2.0,313.0,,,5.56,,,,,,4
37,Wheat flour (whole),100.0,12.2,12.1,1.7,69.4,2.7,1.9,341.0,48.0,355.0,4.9,29.0,0.0,0.49,0.17,4.3,4
38,Wheat flour (refined),100.0,13.3,11.0,0.9,73.9,0.6,0.3,348.0,23.0,121.0,2.7,25.0,0.0,0.12,0.07,2.4,4
39,Wheat germ,100.0,5.2,29.2,7.4,53.3,3.5,1.4,397.0,40.0,846.0,6.0,,0.0,1.4,0.54,2.9,1
40,Wheat bran,,11.9,14.6,3.0,66.0,4.5,6.8,397.0,132.0,975.0,13.8,,0.0,0.54,0.8,5.5,4
B. PULSES & LEGUMES,,,,4.8,0.9,17.9,,1.5,129.0,,,,,,,,,0
41,"Bengal gram, Big, white (whole)",100.0,10.9,21.1,4.0,56.7,2.8,4.5,347.2,56.2,300.0,5.3,,,0.3,0.15,2.9,1
42,Bengal gram dal (chickpea),100.0,9.9,20.8,5.6,59.8,2.7,1.2,372.0,56.0,331.0,5.3,129.0,1.0,0.48,0.18,2.4,1
43,"Bengal gram medium, white",100.0,11.1,23.2,3.7,54.6,2.7,4.7,345.0,45.6,298.0,3.6,,,,,,1
44,"Bengal gram, Dark brown big",100.0,9.8,17.1,5.3,60.9,3.0,3.9,360.0,44.8,312.0,4.6,189.0,3.0,,,,4
45,"Bengal gram, light brown small",100.0,10.9,24.0,4.1,54.9,2.4,3.7,352.5,47.6,194.0,4.4,,,,,,1
46,"Bengal gram, brown small",100.0,10.6,20.6,3.5,59.0,2.8,3.5,349.9,59.2,274.0,5.3,,,,,,1
47,"Bengal gram, Small, White",100.0,11.1,23.2,3.7,54.6,2.7,4.7,344.5,45.6,298.0,3.6,,,,,,1
48,Black gram (Dal),100.0,10.9,24.0,1.4,59.6,3.2,0.9,347.0,154.0,385.0,3.8,38.0,0.0,0.42,0.2,2.3,1
49,Black gram (Whole),100.0,10.6,21.0,1.6,58.8,3.6,4.4,344.0,110.0,348.0,8.4,20.0,2.0,0.58,0.2,2.0,1
50,Broadbean,100.0,13.8,25.0,1.2,29.3,3.1,5.1,328.0,104.0,357.0,4.2,65.0,,0.45,0.19,2.4,1
51,Black bean,100.0,9.73,23.73,1.31,58.7,4.4,2.1,342.0,,,,,,,,,1
52,Bhote simi,100.0,9.73,23.49,3.71,57.7,4.03,1.32,358.0,,,,,,,,,1
53,Cow Pea,97.0,13.4,24.1,1.0,54.5,3.2,3.8,323.0,77.0,414.0,8.6,12.0,0.0,0.51,0.2,1.3,1
54,Fieldbean dry (simi),100.0,9.6,24.9,1.3,60.1,3.2,1.4,347.0,60.0,433.0,4.4,0.0,,0.52,0.16,1.8,1
55,Gram Flour besan,100.0,11.6,17.9,4.3,63.5,2.6,0.1,364.0,129.0,321.0,5.6,,,,,,4
56,"Green gram (Dal), Green",100.0,10.1,24.5,1.2,59.9,3.5,4.2,348.0,75.0,405.0,3.9,49.0,0.0,0.47,0.21,2.4,1
